Customer_Code,Customer_Name,Customer_City,Customer_Longitude,Customer_Latitude,CustomerType_Name_Fa,Customer_Classification
1022381,??????? ????? ? ???????? ?????,????,49.69001038,34.0865986,??????,C
1023202,???? ?????????,????,49.70711356,34.10658322,??????,C
1022129,???? ??????,????,49.7787175,34.0713729,??????,A+
1022073,???? ? ??? ????? ? ?????,????,49.6805254,34.0653684,??????,B
1168920,???? ?????,????,49.66532556,34.06906151,??????,C
1180964,???? ?????????,????,49.68992833,34.085915,????,C
1024817,???? ??????,????,49.68130984,34.10317561,??????,A+
1173252,???? ???? ???,????,49.66417554,34.06889578,??????,C
1023189,???? ?????,????,49.68810685,34.10785873,??????,C
1019954,??? ?????,??,50.82774767,34.66802061,??????,C
1025453,????? ???? ?????,??????,49.3307083,34.7245233,??????,C
1022888,???? ?????????,????,49.73070332,34.10157888,??????,C
1161237,??????? ??????,??????,49.32533094,34.71784053,??????,C
1019778,???????? ?????-??? ?????? ???,??,50.84823103,34.65910711,??????,C
1025744,??????? ?????,????,49.6884725,34.0799846,??????,C
1024810,???? ?????,????,49.66464264,34.06885389,??????,B
1162635,??????? ?????????,????,49.66915031,34.08457913,??????,B
1024976,??? ???? ?????,????,49.70698176,34.10796132,??????,A
1023165,???????? ?????,????,49.68033015,34.07717085,??????,C
1148915,???? ?????,?????,49.44384215,34.04871882,??????,C
1022264,???? ????? ? ???????? ????,?????,49.42878542,34.04885338,??????,B
1022404,??? ??????,????,49.68726531,34.08431634,??????,B
1021622,???? ????,????,50.29686402,34.94381176,??????,C
1020249,???? ??????? ? ???????? ?????,??,50.87469175,34.62096634,??????,C
1021425,??????? ? ??? ??????,????,50.35485803,35.01697959,??????,B
1149461,?????  ????,?????,49.43423556,34.04865922,??????,C
1023369,?????????/??? ??? ?????/???? ??????,?????,49.42824471,34.04809728,??????,C
1133843,???? ????????? ? ??? ????????,??,50.86643351,34.62346598,??????,A
1023374,??? ???????,????,49.49050973,34.0205195,??????,B
1171810,????????  ??????,????,49.42851227,34.04818942,??????,C
1178669,??????? ????,????,50.30812584,34.95679308,??????,C
1143500,???? ???????,?????,49.40905186,33.92856822,??????,C
1023103,???? ? ??? ????? ??????? ?,????,49.71198461,34.07588464,??????,C
1022694,????? ???? ???,????,49.74237634,34.10358323,??????,A
1134110,???? ??????,????,49.6804455,34.066049,??????,B
1177656,????? ????? ????,??,50.86379713,34.66205365,??????,C
1022213,???? ??????,????,49.64469619,34.07622597,??????,B
1020903,???? ?????,??,50.87748064,34.66574721,??????,C
1168520,???? ???,??,50.88084031,34.64907438,??????,C
1023059,???? ?????,????,49.69780676,34.10525308,??????,C
1025015,???? ????? ? ???? ????,????,49.68981225,34.08160705,??????,B
1023430,???? ????????,??,50.8979608,35.0876494,????,A+
1021423,??? ????,????,50.35296271,35.01246152,??????,C
1161711,???  ???????,??,50.88064553,34.61824877,??????,C
1153547,???  ?????,??,50.87016625,34.59331515,??????,C
1174114,????? ?????????,????,49.70017821,34.07927993,??????,C
1160628,?????? ?????,??,50.85545282,34.86628311,????,B
1026297,????? ?????,?????,51.47506875,33.97022563,??????,B
1025722,??????? ??????,??,50.86447273,34.66024964,??????,B
1023423,?????? ???? ??????? ????? ????? ???,??,50.80444559,34.5994023,??????,A
1021700,???? ?????,????,50.34746946,35.02482944,??????,A+
1021733,????? ????,??????,50.49834576,35.31759437,??????,A+
1021498,??????? ????? ????????,??????,50.48700518,35.30755264,??????,A+
1021561,????? ????,????,50.3775114,35.03813723,??????,C
1150475,????  ??????,??,50.8626558,34.60642435,??????,B
1021375,??? ??????,????,50.37207635,35.04797544,??????,A
1020109,??? ???????? ? ???? ????? ????? ? ?,??,50.86699834,34.60168854,??????,A
1157301,????  ?????,??,50.83059495,34.60515669,??????,B
1023161,????? ???? ????,????,49.69919034,34.0759406,??????,B
1159120,????? ????,????,49.71950238,34.07571457,??????,C
1173951,???? ?????,????,49.69413004,34.07842688,??????,C
1024816,???? ?????? ? ???? ????? ?????,????,49.72793435,34.06775138,??????,B
1167890,????  ?????,??,50.86199464,34.62455509,??????,C
1025069,??? ???? ??? ???? ? ??? ???????? ??,????,49.72974958,34.06767239,??????,B
1167362,?????? ?????,????,49.68777248,34.10764386,??????,A
1174271,??? ????,??,50.90672113,34.66011284,????,C
1166219,???? ???? ?????? ??????,??,50.88201737,34.61382011,??????,C
1023328,???? ????,??????,49.32347781,34.72219856,??????,A
1025866,???? ??? ???????,????,50.34757557,35.03635038,??????,A+
1155818,???? ?????,??,50.84742387,34.8021231,????,A+
1167363,???????? ???? ?????,??,50.86704494,34.64940329,??????,C
1169496,??? ?????????,??,50.91084539,34.66528629,????,C
1164280,???? ????,??,50.88139945,34.64984406,??????,B
1138684,????? ?????,????,49.6739987,34.1043894,??????,B
1021127,???? ????,??,50.88926479,34.648457,??????,C
1021899,????? ??????? ?????,????,50.35463836,35.02395759,??????,A
1022874,??? ? ????? ?????,????,49.7373368,34.10478313,??????,A
1022233,???? ?????,??????,49.32659602,34.716465,??????,B
1021783,???? ??????,????,50.36447365,35.0408396,??????,A
1168453,?????? ????????,????,50.35943641,35.04207512,??????,C
1021351,???? ?????????,????,50.35954057,35.042098,??????,B
1025671,????? ?????? ???????,????,49.7019859,34.1265206,??????,C
1172702,????? ??????,????,49.70864863,34.1262079,??????,C
1025151,??? ????????,????,49.71381315,34.12594545,??????,B
1132407,?????????,????,50.35020844,35.0352683,??????,B
1023166,???? ??????,????,49.68751139,34.07839356,??????,B
1144740,??? ??? ?? ???,????,49.68213708,34.08455646,??????,B
1019740,???????? ????? ????,??,50.85840941,34.66035448,??????,B
1179013,???? ??? ??????,????,50.50272558,35.30151868,??????,C
